country,carrier,min,max
BE,OCGT,3499.0,
DE,OCGT,15004.0,
GB,OCGT,3314.0,
NL,OCGT,7504.0,
BE,onwind,4500.0,
DE,onwind,102000.0,
GB,onwind,31150.0,
NL,onwind,10900.0,
BE,offwind-ac,1480.0,
DK,offwind-ac,4200.0,
GB,offwind-ac,12500.0,
NL,offwind-ac,5500.0,
BE,offwind-dc,3100.0,
DE,offwind-dc,35000.0,
DK,offwind-ac,3000.0,
GB,offwind-dc,63700.0,
NL,offwind-dc,22000.0,
BE,solar,16670.0,
DE,solar,192000.0,
GB,solar,57200.0,
NL,solar,56000.0,
