name,busmap
7421,BE1 1
7422,BE1 1
4686,BE1 0
4781,BE1 0
4783,BE1 0
4784,BE1 0
4785,BE1 0
4786,BE1 0
4788,BE1 0
4790,BE1 0
4801,BE1 0
4803,BE1 0
5065,BE1 1
5066,BE1 1
5069,BE1 1
5070,BE1 1
5071,BE1 1
5073,BE1 1
5075,BE1 1
5081,BE1 1
5082,BE1 1
5084,BE1 1
5085,BE1 1
5096,BE1 1
5097,BE1 1
5098,BE1 1
5099,BE1 1
5100,BE1 1
5102,BE1 1
5107,BE1 0
5108,BE1 0
5153,BE1 1
5164,BE1 0
5165,BE1 0
5166,BE1 0
5168,BE1 0
5169,BE1 0
7467,BE1 1
8710,BE1 0
8632,BE1 1
7953,BE1 0
7323,BE1 1
8149,BE1 0
7952,BE1 0
8295,BE1 1
8513,DE1 3
8828,DE1 0
8807,DE1 2
7208,DE1 3
7207,DE1 3
3371,DE1 1
3372,DE1 1
3373,DE1 1
3374,DE1 1
3375,DE1 1
3378,DE1 1
3379,DE1 1
3381,DE1 1
3391,DE1 1
3394,DE1 1
3396,DE1 1
3566,DE1 3
3571,DE1 3
3572,DE1 3
3573,DE1 3
3598,DE1 3
3600,DE1 3
3602,DE1 3
7808,DE1 3
7807,DE1 3
3741,DE1 3
3743,DE1 3
3745,DE1 3
3747,DE1 3
3748,DE1 3
3749,DE1 3
3750,DE1 3
3751,DE1 3
3752,DE1 3
3754,DE1 3
3755,DE1 3
3778,DE1 3
3779,DE1 3
3792,DE1 1
3793,DE1 1
3794,DE1 1
3796,DE1 3
3798,DE1 1
3799,DE1 1
3803,DE1 1
3806,DE1 1
7460,DE1 4
4548,DE1 2
4553,DE1 2
4554,DE1 2
4557,DE1 2
4559,DE1 2
4562,DE1 2
4565,DE1 2
4566,DE1 2
4567,DE1 2
4568,DE1 2
4571,DE1 2
4573,DE1 2
4577,DE1 2
4584,DE1 1
4585,DE1 1
4589,DE1 1
4590,DE1 1
4592,DE1 1
4620,DE1 2
4625,DE1 2
4626,DE1 2
4627,DE1 2
4666,DE1 0
4685,DE1 0
4691,DE1 0
4693,DE1 0
4695,DE1 0
4697,DE1 0
4698,DE1 0
4700,DE1 0
4701,DE1 0
4703,DE1 0
4705,DE1 0
4709,DE1 0
4710,DE1 0
4713,DE1 0
4715,DE1 0
4716,DE1 0
4717,DE1 0
4719,DE1 0
4720,DE1 0
4722,DE1 0
4723,DE1 0
4724,DE1 0
4728,DE1 0
4730,DE1 0
4731,DE1 0
4733,DE1 0
4736,DE1 0
4738,DE1 4
4740,DE1 0
4742,DE1 0
4744,DE1 0
4746,DE1 0
4748,DE1 4
4749,DE1 0
4750,DE1 0
4752,DE1 0
4754,DE1 0
4755,DE1 0
4757,DE1 0
4759,DE1 0
4761,DE1 0
4763,DE1 0
4765,DE1 0
4766,DE1 0
4768,DE1 0
4773,DE1 0
4775,DE1 0
4777,DE1 0
4778,DE1 0
4779,DE1 0
4793,DE1 0
4795,DE1 0
4796,DE1 0
4798,DE1 0
4800,DE1 0
4831,DE1 0
4832,DE1 0
4834,DE1 3
4836,DE1 3
4841,DE1 3
4845,DE1 0
4846,DE1 0
4847,DE1 0
4848,DE1 0
4849,DE1 3
4850,DE1 3
4852,DE1 3
4853,DE1 3
4854,DE1 3
4859,DE1 3
4861,DE1 3
4863,DE1 4
4864,DE1 4
4865,DE1 4
4867,DE1 4
4869,DE1 4
4870,DE1 4
4871,DE1 4
4876,DE1 4
4877,DE1 4
4883,DE1 4
4884,DE1 4
4885,DE1 4
4886,DE1 4
4887,DE1 4
4888,DE1 4
4890,DE1 4
4891,DE1 4
4892,DE1 4
4893,DE1 4
4896,DE1 4
4898,DE1 4
4900,DE1 2
4901,DE1 0
4902,DE1 3
4905,DE1 3
4907,DE1 3
4909,DE1 3
4911,DE1 3
4913,DE1 3
4915,DE1 3
4917,DE1 3
4918,DE1 3
4920,DE1 3
4923,DE1 3
4924,DE1 3
4925,DE1 3
4930,DE1 3
4931,DE1 3
4932,DE1 3
4937,DE1 3
4938,DE1 3
4941,DE1 1
4942,DE1 1
4944,DE1 1
4945,DE1 1
4946,DE1 1
4947,DE1 1
4948,DE1 1
4949,DE1 1
5622,DE1 2
8297,DE1 2
5678,DE1 2
5679,DE1 2
5685,DE1 2
5687,DE1 2
5689,DE1 2
5691,DE1 2
5693,DE1 2
5695,DE1 2
5696,DE1 2
5699,DE1 2
5701,DE1 2
5703,DE1 2
5704,DE1 2
5706,DE1 2
5709,DE1 2
5711,DE1 2
5715,DE1 2
5769,DE1 4
5780,DE1 4
5783,DE1 4
5784,DE1 4
5786,DE1 4
5787,DE1 4
5789,DE1 0
5792,DE1 4
5793,DE1 4
5796,DE1 4
5827,DE1 4
5830,DE1 4
5833,DE1 4
5853,DE1 4
5856,DE1 4
5858,DE1 4
5860,DE1 4
5861,DE1 4
5863,DE1 4
5864,DE1 4
5865,DE1 4
5867,DE1 4
5870,DE1 4
5871,DE1 4
5873,DE1 4
5875,DE1 4
5878,DE1 4
5879,DE1 4
5880,DE1 4
5882,DE1 4
5883,DE1 4
5886,DE1 4
5887,DE1 4
8581,DE1 0
7023,DE1 0
7074,DE1 4
8847,DE1 3
7476,DE1 2
8351,DE1 4
7889,DE1 3
7633,DE1 4
7895,DE1 3
7897,DE1 3
8175,DE1 3
8225,DE1 2
8115,DE1 4
8041,DE1 2
8588,DE1 2
8725,DE1 3
7330,DE1 0
8116,DE1 4
7635,DE1 4
8707,DE1 0
7914,DE1 1
8745,DE1 2
7631,DE1 4
7630,DE1 4
7319,DE1 1
8599,DE1 3
8616,DE1 3
8310,DE1 0
8309,DE1 0
8168,DE1 0
7888,DE1 3
7373,DE1 2
7901,DE1 3
8028,DE1 3
8039,DE1 2
8042,DE1 2
7318,DE1 4
8181,DE1 0
7812,DE1 4
7328,DE1 0
7903,DE1 0
8752,DE1 2
8151,DE1 3
7713,DE1 3
7947,DE1 3
8596,DE1 3
8121,DE1 0
7810,DE1 3
7474,DE1 2
7374,DE1 4
8291,DE1 0
8414,DE1 4
8480,DE1 4
8806,DE1 2
8832,DE1 0
8357,DE1 0
7420,DE1 3
8117,DE1 4
8685,DE1 3
8653,DE1 3
7363,DE1 3
7362,DE1 3
8101,DE1 4
8496,DE1 4
8128,DE1 1
7424,DE1 0
7703,DE1 3
7327,DE1 0
7375,DE1 4
7900,DE1 1
7949,DE1 3
7321,DE1 4
7320,DE1 4
8038,DE1 2
8490,DE1 1
7898,DE1 1
8443,DE1 1
7419,DE1 4
8102,DE1 1
7315,DE1 3
8099,DE1 2
7871,DE1 0
8312,DE1 0
7902,DE1 2
7459,DE1 3
7761,DE1 0
7329,DE1 0
8848,DE1 4
8842,DE1 0
7322,DE1 1
7468,DE1 3
7677,DE1 3
8791,DE1 3
8593,DE1 3
7636,DE1 4
7326,DE1 3
8728,DE1 0
8863,DE1 4
8040,DE1 2
8391,DE1 3
7623,DE1 1
8834,DE1 2
8100,DE1 2
8737,DE1 2
8331,DE1 0
7317,DE1 0
7316,DE1 0
8610,DE1 4
7372,DE1 3
5803,DK1 0
5805,DK1 0
5815,DK1 0
5822,DK1 0
5836,DK1 0
5842,DK1 0
5847,DK1 0
8567,DK1 0
6385,DK1 0
6398,DK1 0
6402,DK1 0
6410,DK1 0
6425,DK1 0
6434,DK1 0
7333,DK1 0
7332,DK1 0
5624,DK3 0
5642,DK3 0
5646,DK3 0
5657,DK3 0
5676,DK3 0
7429,DK3 0
7613,DK3 0
8838,GB0 2
8013,GB0 1
8649,GB0 2
4950,GB0 0
4951,GB0 0
4952,GB0 0
4953,GB0 0
4955,GB0 0
4956,GB0 0
4958,GB0 0
4960,GB0 0
4961,GB0 0
4962,GB0 0
4963,GB0 0
4964,GB0 0
4965,GB0 0
4967,GB0 0
4968,GB0 0
4969,GB0 0
4970,GB0 0
4971,GB0 0
4972,GB0 0
4974,GB0 0
4975,GB0 0
4977,GB0 0
4979,GB0 0
5183,GB0 2
5185,GB0 2
5187,GB0 2
5188,GB0 2
5189,GB0 2
5190,GB0 2
5191,GB0 2
5192,GB0 2
5193,GB0 2
5194,GB0 2
5195,GB0 2
5198,GB0 2
5200,GB0 2
5202,GB0 2
5203,GB0 2
5204,GB0 2
5206,GB0 2
5207,GB0 2
5208,GB0 2
5209,GB0 2
5212,GB0 2
5213,GB0 2
5214,GB0 2
5215,GB0 2
5217,GB0 2
5218,GB0 2
5219,GB0 2
5221,GB0 2
5222,GB0 0
5223,GB0 0
5224,GB0 2
5225,GB0 2
5226,GB0 2
5228,GB0 2
5229,GB0 2
5230,GB0 0
5231,GB0 0
5233,GB0 0
5234,GB0 0
5236,GB0 0
5238,GB0 0
5240,GB0 0
5241,GB0 0
5242,GB0 0
5243,GB0 0
5245,GB0 0
5247,GB0 0
5248,GB0 0
5249,GB0 0
5250,GB0 0
5251,GB0 0
5252,GB0 0
5253,GB0 0
5254,GB0 0
5256,GB0 0
5257,GB0 0
5258,GB0 0
5259,GB0 0
5261,GB0 0
5262,GB0 0
5264,GB0 0
5265,GB0 0
5266,GB0 0
5268,GB0 0
5269,GB0 0
5270,GB0 0
5272,GB0 0
5273,GB0 0
5274,GB0 2
8397,GB0 2
8747,GB0 2
5955,GB0 1
5957,GB0 1
5959,GB0 1
5888,GB0 0
5889,GB0 0
5893,GB0 1
5896,GB0 2
5898,GB0 1
5901,GB0 1
5902,GB0 1
5904,GB0 1
5905,GB0 1
5910,GB0 1
5912,GB0 1
5913,GB0 1
5914,GB0 1
5917,GB0 1
5919,GB0 1
5920,GB0 1
5922,GB0 1
5924,GB0 2
5926,GB0 2
5927,GB0 2
5928,GB0 2
5929,GB0 2
5934,GB0 2
5939,GB0 2
5941,GB0 2
5942,GB0 2
5943,GB0 1
5944,GB0 1
5946,GB0 1
5949,GB0 1
5950,GB0 1
5951,GB0 1
5952,GB0 2
5953,GB0 1
5954,GB0 1
5960,GB0 1
5961,GB0 1
5962,GB0 1
5963,GB0 0
5966,GB0 0
5967,GB0 0
5968,GB0 2
5969,GB0 2
5971,GB0 2
5973,GB0 2
5974,GB0 2
5976,GB0 2
5978,GB0 2
5980,GB0 2
5981,GB0 2
5982,GB0 2
5983,GB0 2
5984,GB0 2
5986,GB0 2
5987,GB0 0
5988,GB0 2
5989,GB0 0
5990,GB0 2
5992,GB0 2
5993,GB0 2
5995,GB0 2
5996,GB0 2
5997,GB0 0
5998,GB0 0
5999,GB0 0
6001,GB0 2
6003,GB0 2
6004,GB0 2
6006,GB0 2
6007,GB0 0
6009,GB0 0
6010,GB0 0
6012,GB0 2
6013,GB0 2
6014,GB0 0
6016,GB0 0
6018,GB0 2
6019,GB0 0
6020,GB0 0
6021,GB0 0
6023,GB0 0
6025,GB0 0
6026,GB0 0
6028,GB0 0
6029,GB0 0
6030,GB0 0
6031,GB0 0
6032,GB0 0
6033,GB0 0
6035,GB0 0
6036,GB0 0
6037,GB0 0
6038,GB0 0
6039,GB0 0
6040,GB0 0
6041,GB0 0
6042,GB0 0
6043,GB0 0
6045,GB0 0
6046,GB0 0
6047,GB0 0
6048,GB0 0
6050,GB0 0
6051,GB0 0
8035,GB0 1
6437,GB0 1
6439,GB0 1
6440,GB0 1
6447,GB0 1
6448,GB0 1
6451,GB0 1
6453,GB0 1
6454,GB0 1
6455,GB0 1
6457,GB0 1
6458,GB0 1
6460,GB0 1
6462,GB0 1
6464,GB0 1
6466,GB0 1
6467,GB0 1
6468,GB0 1
6469,GB0 1
6471,GB0 1
6472,GB0 1
6474,GB0 1
6475,GB0 1
6477,GB0 1
6480,GB0 1
6482,GB0 1
6484,GB0 1
6485,GB0 1
6486,GB0 1
7412,GB0 2
7909,GB0 0
8473,GB0 0
8529,GB0 2
8515,GB0 2
7462,GB0 2
7461,GB0 2
8023,GB0 2
7361,GB0 0
8860,GB0 0
8029,GB0 0
7464,GB0 2
7463,GB0 2
8017,GB0 1
8189,GB0 2
8037,GB0 1
8015,GB0 1
7946,GB0 0
7286,GB0 0
8014,GB0 0
8290,GB0 2
7471,GB0 1
7945,GB0 2
8033,GB0 1
8565,GB0 1
8036,GB0 1
7454,GB0 0
8575,GB0 2
7466,GB0 2
7465,GB0 2
8030,GB0 0
8020,GB0 1
8489,GB0 1
8034,GB0 1
8026,GB0 2
7455,GB0 2
8022,GB0 2
8744,GB0 1
7457,GB0 2
7456,GB0 2
8032,GB0 1
8025,GB0 0
8024,GB0 0
8021,GB0 0
8578,GB0 0
7469,GB0 1
8027,GB0 2
8016,GB0 2
8019,GB0 1
7458,GB0 2
8283,GB0 0
8093,GB0 0
7908,GB0 2
6067,GB4 1
6068,GB4 1
6069,GB4 1
6070,GB4 1
6071,GB4 1
6072,GB0 1
6074,GB4 1
6075,GB4 1
6076,GB4 1
7800,GB4 1
7197,GB4 1
7672,GB4 1
8427,GB4 1
4679,NL1 5
4680,NL1 5
4681,NL1 2
