utc_timestamp,BE,DE,FR,GB,LU
2015-01-01 00:00:00,13171,67416,67335,41126,1026
2015-01-01 01:00:00,12121,61971,63841,38878,943
2015-01-01 02:00:00,11909,61165,63317,38578,931
2015-01-01 03:00:00,13839,72485,74061,42072,1103
2015-01-01 04:00:00,14195,75268,76228,41552,1146
2015-01-01 05:00:00,16003,84955,86739,44340,1293
2015-01-01 06:00:00,17190,89904,92753,46420,1369
2015-01-01 07:00:00,16272,86844,89049,45587,1322
2015-01-01 08:00:00,16138,83550,84187,44272,1272
2015-01-01 09:00:00,15197,86751,78446,43980,1321
2015-01-01 10:00:00,15237,85298,74260,45143,1298
2015-01-01 11:00:00,15124,87153,72518,47622,1327
2015-01-01 12:00:00,15950,93625,76631,53107,1425
2015-01-01 13:00:00,16678,98190,77848,56939,1495
2015-01-01 14:00:00,16303,97511,77717,58269,1484
2015-01-01 15:00:00,16423,97995,77861,57647,1492
2015-01-01 16:00:00,17528,108389,84709,59157,1650
2015-01-01 17:00:00,19006,111260,94388,61838,1694
2015-01-01 18:00:00,18172,110704,90471,59103,1685
2015-01-01 19:00:00,16977,102250,84691,54307,1557
2015-01-01 20:00:00,16437,97924,81893,51758,1491
2015-01-01 21:00:00,15912,93973,78004,48700,1431
2015-01-01 22:00:00,15823,89800,77260,44268,1367
2015-01-01 23:00:00,14580,78782,69189,39863,1199
2015-01-02 00:00:00,15062,85292,71976,46094,1298
2015-01-02 01:00:00,13992,79730,68593,43762,1214
2015-01-02 02:00:00,13319,76996,66200,41726,1172
2015-01-02 03:00:00,14492,85325,73063,43278,1299
2015-01-02 04:00:00,14471,86683,73658,42773,1320
2015-01-02 05:00:00,15661,95076,81557,46044,1447
2015-01-02 06:00:00,16298,99530,85371,48541,1515
2015-01-02 07:00:00,15544,97586,82028,49496,1486
2015-01-02 08:00:00,15533,97046,78852,51215,1477
2015-01-02 09:00:00,15455,96986,76414,53036,1476
2015-01-02 10:00:00,15354,96154,73810,54089,1464
2015-01-02 11:00:00,15401,96797,72714,54208,1474
2015-01-02 12:00:00,16722,106955,79711,61254,1628
2015-01-02 13:00:00,16982,108980,79372,63110,1659
2015-01-02 14:00:00,16862,109492,78584,64033,1667
2015-01-02 15:00:00,16713,111469,79896,66294,1697
2015-01-02 16:00:00,19805,126369,94678,80018,1924
2015-01-02 17:00:00,24388,155838,119954,94048,2373
2015-01-02 18:00:00,26602,170803,131720,107776,2601
2015-01-02 19:00:00,24027,152550,118883,95991,2323
2015-01-02 20:00:00,21332,132572,104906,82684,2018
2015-01-02 21:00:00,19453,121066,95965,73938,1843
2015-01-02 22:00:00,18952,113630,93439,68793,1730
2015-01-02 23:00:00,17727,107157,85186,64671,1631
2015-01-03 00:00:00,14868,87455,69937,51204,1331
2015-01-03 01:00:00,13677,81825,66538,48023,1246
2015-01-03 02:00:00,12979,78698,63762,45947,1198
2015-01-03 03:00:00,14151,86078,69640,45666,1310
2015-01-03 04:00:00,14407,87398,70053,46968,1330
2015-01-03 05:00:00,14869,89783,72369,46881,1367
2015-01-03 06:00:00,15317,90757,73554,41137,1382
2015-01-03 07:00:00,15661,94564,75138,43214,1440
2015-01-03 08:00:00,16107,97030,74673,44951,1477
2015-01-03 09:00:00,16754,101051,75663,48886,1538
2015-01-03 10:00:00,17421,103399,74959,52315,1574
2015-01-03 11:00:00,17650,104413,73156,57529,1590
2015-01-03 12:00:00,18845,113702,78927,64393,1731
2015-01-03 13:00:00,18650,112741,75497,64430,1716
2015-01-03 14:00:00,18396,106302,73127,63916,1618
2015-01-03 15:00:00,18543,108598,72807,64734,1653
2015-01-03 16:00:00,20639,125372,82667,71952,1909
2015-01-03 17:00:00,24450,153580,103606,93292,2338
2015-01-03 18:00:00,27271,173256,118729,109838,2638
2015-01-03 19:00:00,25027,156667,107984,99609,2385
2015-01-03 20:00:00,22351,134575,93581,85490,2049
2015-01-03 21:00:00,20626,122464,85357,76862,1864
2015-01-03 22:00:00,19509,113502,82761,69412,1728
