region,constant_power_MW
GB0 0,1968.4
GB0 1,226.10000000000002
GB0 2,678.3000000000001
BE1 0,53.2
BE1 1,2221.1
DE1 0,3431.4
DE1 1,505.40000000000003
DE1 2,3098.9
DE1 3,2540.3
DE1 4,1303.4
DK1 0,66.5
DK3 0,79.80000000000001
NO2 0,758.1
NL1 0,1689.1000000000001
NL1 1,1263.5
NL1 2,0.0
NL1 3,1103.9
NL1 4,2394.0
NL1 5,1183.7
