utc_timestamp,NL1 0,NL1 1,NL1 2,NL1 3,NL1 4,NL1 5
2015-01-01 00:00:00,6333,3389,2660,6470,827,5705
2015-01-01 01:00:00,6067,3314,2552,6219,809,5516
2015-01-01 02:00:00,5868,3263,2481,6062,796,5399
2015-01-01 03:00:00,5744,3232,2442,5975,789,5335
2015-01-01 04:00:00,5723,3229,2444,5978,788,5350
2015-01-01 05:00:00,5760,3250,2487,6064,793,5459
2015-01-01 06:00:00,5760,3260,2510,6099,794,5539
2015-01-01 07:00:00,5680,3249,2486,6010,790,5519
2015-01-01 08:00:00,5654,3235,2451,5941,785,5441
2015-01-01 09:00:00,5595,3214,2404,5834,778,5352
2015-01-01 10:00:00,5818,3302,2471,5962,803,5488
2015-01-01 11:00:00,7217,4286,2717,6259,1135,6192
2015-01-01 12:00:00,7071,4220,2684,6246,1095,6160
2015-01-01 13:00:00,6668,3933,2643,6230,994,6026
2015-01-01 14:00:00,6092,3347,2601,6264,812,5695
2015-01-01 15:00:00,6213,3384,2664,6411,822,5814
2015-01-01 16:00:00,6467,3456,2779,6668,841,6028
2015-01-01 17:00:00,7191,3655,3084,7348,892,6578
2015-01-01 18:00:00,7510,3746,3224,7664,915,6823
2015-01-01 19:00:00,7372,3704,3157,7529,905,6695
2015-01-01 20:00:00,7112,3626,3027,7239,885,6446
2015-01-01 21:00:00,7029,3801,2884,6849,946,6287
2015-01-01 22:00:00,7147,4064,2812,6627,1032,6269
2015-01-01 23:00:00,7252,4225,2739,6400,1088,6188
2015-01-02 00:00:00,7189,4235,2750,6268,1101,6154
2015-01-02 01:00:00,6962,4178,2588,5930,1100,5868
2015-01-02 02:00:00,6877,4162,2544,5827,1101,5788
2015-01-02 03:00:00,6868,4169,2563,5842,1103,5816
2015-01-02 04:00:00,6879,4190,2618,5909,1108,5904
2015-01-02 05:00:00,6930,4220,2721,6074,1109,6108
2015-01-02 06:00:00,7011,4235,2818,6226,1101,6356
2015-01-02 07:00:00,6905,3731,2988,6564,944,6432
2015-01-02 08:00:00,7666,3787,3332,7160,962,6970
2015-01-02 09:00:00,7870,3827,3387,7255,973,7068
2015-01-02 10:00:00,8596,4506,3456,7264,1183,7479
2015-01-02 11:00:00,8696,4569,3472,7283,1202,7533
2015-01-02 12:00:00,8968,4750,3487,7300,1277,7541
2015-01-02 13:00:00,8079,4061,3374,7228,1043,7146
2015-01-02 14:00:00,7885,3842,3400,7320,975,7075
2015-01-02 15:00:00,7856,3860,3429,7390,979,7121
2015-01-02 16:00:00,7914,3899,3483,7565,985,7224
2015-01-02 17:00:00,8143,3983,3597,7924,999,7425
2015-01-02 18:00:00,8201,4017,3639,8076,1003,7495
2015-01-02 19:00:00,7996,3958,3545,7914,986,7327
2015-01-02 20:00:00,7532,3814,3312,7473,947,6902
2015-01-02 21:00:00,7033,3660,3066,7011,905,6440
2015-01-02 22:00:00,7008,3864,2918,6722,972,6288
2015-01-02 23:00:00,7158,4241,2794,6371,1093,6258
2015-01-03 00:00:00,5935,3319,2513,5981,815,5393
2015-01-03 01:00:00,5517,3148,2273,5608,762,5014
2015-01-03 02:00:00,5403,3119,2233,5528,754,4943
2015-01-03 03:00:00,5436,3139,2271,5584,761,5009
2015-01-03 04:00:00,5528,3185,2351,5704,777,5143
2015-01-03 05:00:00,5641,3228,2433,5878,787,5328
2015-01-03 06:00:00,5705,3259,2492,5980,793,5494
2015-01-03 07:00:00,5955,3404,2716,6165,844,5850
2015-01-03 08:00:00,5978,3324,2582,6117,809,5705
2015-01-03 09:00:00,6264,3397,2685,6308,829,5877
2015-01-03 10:00:00,6549,3479,2809,6537,852,6094
2015-01-03 11:00:00,6627,3501,2843,6603,858,6154
2015-01-03 12:00:00,6611,3498,2836,6608,856,6143
2015-01-03 13:00:00,6666,3515,2862,6697,861,6177
2015-01-03 14:00:00,6693,3523,2879,6755,864,6204
2015-01-03 15:00:00,6759,3548,2923,6857,869,6292
2015-01-03 16:00:00,6929,3597,3000,7043,881,6443
2015-01-03 17:00:00,7235,3686,3131,7359,901,6689
2015-01-03 18:00:00,7235,3690,3132,7398,901,6685
2015-01-03 19:00:00,7114,3653,3069,7283,891,6558
2015-01-03 20:00:00,6814,3562,2920,6958,868,6271
2015-01-03 21:00:00,6544,3477,2785,6671,846,6001
2015-01-03 22:00:00,6335,3409,2678,6464,830,5776
2015-01-03 23:00:00,6081,3330,2552,6163,811,5516
2015-01-04 00:00:00,5893,3268,2460,5985,795,5328
2015-01-04 01:00:00,5601,3179,2326,5704,772,5094
2015-01-04 02:00:00,5457,3145,2277,5599,763,5008
2015-01-04 03:00:00,5452,3150,2289,5616,766,5028
