region,constant_power_MW
GB0 0,2220.0
GB0 1,255.0
GB0 2,765.0
BE1 0,60.0
BE1 1,2505.0
DE1 0,3870.0
DE1 1,570.0
DE1 2,3495.0
DE1 3,2865.0
DE1 4,1470.0
DK1 0,75.0
DK3 0,90.0
NO2 0,855.0
NL1 0,1905.0
NL1 1,1425.0
NL1 2,0.0
NL1 3,1245.0
NL1 4,2700.0
NL1 5,1335.0
