Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,YearCommissioned,Retrofit,lat,lon,projectID,YearDecommissioning
GB Waste CCGT PPSgen collection GB0 0,Waste,CCGT,,GB,1561,,,,,2011,,-0.367753164947349,52.41353221520068,GB-WASTE B,2051
GB Waste CCGT PPSgen collection GB0 1,Waste,CCGT,,GB,376,,,,,2011,,-3.8641737064961004,56.523247244011685,GB-WASTE B,2051
GB Waste CCGT PPSgen collection GB0 2,Waste,CCGT,,GB,839,,,,,2011,,-3.0326599936552276,52.24744059952867,GB-WASTE B,2051
GB Waste CCGT PPSgen collection GB4 1,Waste,CCGT,,GB,66,,,,,2011,,-6.712396999801913,54.60296705381887,GB-WASTE B,2051
NL Bioenergy OCGT PPSgen collection NL1 0,Bioenergy,OCGT,,NL,12,,,,,2014,,4.615764790273979,51.79578077312403,NL-BIO BNL-BIO NB1,2054
NL Bioenergy OCGT PPSgen collection NL1 1,Bioenergy,OCGT,,NL,7,,,,,2014,,6.475046798905386,53.08804109125467,NL-BIO BNL-BIO NB1,2054
NL Bioenergy OCGT PPSgen collection NL1 2,Bioenergy,OCGT,,NL,7,,,,,2014,,6.202974764846323,52.44738339361341,NL-BIO BNL-BIO NB1,2054
NL Bioenergy OCGT PPSgen collection NL1 3,Bioenergy,OCGT,,NL,12,,,,,2014,,5.127022406490859,52.519466014171954,NL-BIO BNL-BIO NB1,2054
NL Bioenergy OCGT PPSgen collection NL1 4,Bioenergy,OCGT,,NL,1,,,,,2014,,3.7807243796517223,51.40463634219716,NL-BIO BNL-BIO NB1,2054
NL Bioenergy OCGT PPSgen collection NL1 5,Bioenergy,OCGT,,NL,10,,,,,2014,,5.667689667644701,51.58770994431525,NL-BIO BNL-BIO NB1,2054
NL Waste CCGT PPSgen collection NL1 0,Waste,CCGT,,NL,95,,,,,2011,,4.615764790273979,51.79578077312403,NL-WASTE C,2051
NL Waste CCGT PPSgen collection NL1 1,Waste,CCGT,,NL,54,,,,,2011,,6.475046798905386,53.08804109125467,NL-WASTE C,2051
NL Waste CCGT PPSgen collection NL1 2,Waste,CCGT,,NL,55,,,,,2011,,6.202974764846323,52.44738339361341,NL-WASTE C,2051
NL Waste CCGT PPSgen collection NL1 3,Waste,CCGT,,NL,94,,,,,2011,,5.127022406490859,52.519466014171954,NL-WASTE C,2051
NL Waste CCGT PPSgen collection NL1 4,Waste,CCGT,,NL,9,,,,,2011,,3.7807243796517223,51.40463634219716,NL-WASTE C,2051
NL Waste CCGT PPSgen collection NL1 5,Waste,CCGT,,NL,77,,,,,2011,,5.667689667644701,51.58770994431525,NL-WASTE C,2051
Angleur TG 41,OCGT,OCGT,PP,BE,64.0,,,,,2012,,50.61806829,5.582996902,BE-ANGL41,2052
Angleur TG 42,OCGT,OCGT,PP,BE,64.0,,,,,2012,,50.61806829,5.582996902,BE-ANGL42,2052
LANGERLO 3&4 REPOWERING,CCGT,CCGT,PP,BE,86.0,,,,,2012,,50.93695737,5.493963969,B_LANG3&4,2052
Marcinelle Energie (Carsid),CCGT,CCGT,PP,BE,413.0,,,,,2012,,50.41373445,4.406855002,BE-CARSID,2052
T-power Beringen (new),CCGT,CCGT,PP,BE,422.0,,,,,2011,,51.05785977,5.104365284,BE-TBERING,2051
BOUCHAIN7,OCGT,OCGT,PP,FR,575.0,,,,,2016,,50.29724564,3.31503256,FR-EDFEDF,2056
BAYET MORANT,CCGT,CCGT,PP,FR,410.0,,,,,2016,,46.27237485,3.299772292,FR-GA-MORANT1,2056
Maison Alfort,OCGT,OCGT,PP,FR,5.3,,,,,2012,,48.80210293,2.426920144,FR-ALFRT,2052
CROIX DE METZ,CCGT,CCGT,PP,FR,413.0,,,,,2012,,48.69276945,5.913701844,FR-TOUL,2052
FLAMANVILLE 3,Nuclear,OCGT,PP,FR,1630.0,,,,,2022,,49.54070396,-1.883729634,FR-NUCLEAR NB1,2072
Karlsruhe-RDK 8,Hard Coal,OCGT,PP,DE,840.0,,,,,2014,,49.01505934,8.312281394,DE-RDK8,2054
Mannheim 9,Hard Coal,OCGT,PP,DE,834.0,,,,,2015,,49.44452135,8.499416122,DE-MANN9,2055
Hamm-Uebtrud E,Hard Coal,OCGT,PP,DE,763.0,,,,,2014,,51.68058097,7.973686983,DE-HAM,2054
"Leverkusen (Chemiepark, repower)",CCGT,CCGT,CHP,DE,570.0,,,,,2018,,51.01757349,6.987897092,DE-LEV2,2058
Bützfleth Stade,CCGT,CCGT,PP,DE,163.0,,,,,2014,,53.63868223,9.50597485,DE-DOWS,2054
Irsching 4,CCGT,CCGT,PP,DE,545.0,,,,,2011,,48.76618978,11.58077933,DE-IRSH4,2051
Kiel-Ost (GKK),CCGT,CCGT,PP,DE,190.0,,,,,2017,,54.33974488,10.17652835,DE-KIELA 2,2057
Dow Stade,CCGT,CCGT,PP,DE,163.0,,,,,2013,,53.64818007,9.498900851,DE-STAD,2053
Halle,CCGT,CCGT,PP,DE,84.0,,,,,2013,,51.46585415,11.99358702,DE-HALL2,2053
GR-Darmstadt,CCGT,CCGT,PP,DE,94.0,,,,,2013,,49.88555789,8.649072982,DE-Darmstadt,2053
Marl III (311+312),CCGT,CCGT,PP,DE,60.0,,,,,2025,,51.683207,7.092864885,DE-MARL3,2065
Frankfurt-Hoechst ADS-Anlage,CCGT,CCGT,PP,DE,96.5,,,,,2012,,50.09108136,8.53467307,DE-FHOCH2,2052
Niehl (Chemiepark),OCGT,OCGT,PP,DE,452.0,,,,,2016,,51.00011207,6.952452348,DE-NIEL3,2056
Salzgitter-Hallendorf AB,OCGT,OCGT,PP,DE,94.0,,,,,2011,,52.15386478,10.41475712,DE-SLZAB,2051
Knapsack - Hürth,CCGT,CCGT,PP,DE,430.0,,,,,2013,,50.85942172,6.840962946,DE-KNAP3,2053
Weiher,CCGT,CCGT,PP,DE,420.0,,,,,2019,,49.33420195,7.028569456,DE-WEIH,2059
Lausward E (Emil) DT-1 (Dusseldorf),CCGT,CCGT,PP,DE,596.0,,,,,2016,,51.22165601,6.733774692,DE-LAUSF,2056
Hannover-Linden,CCGT,CCGT,PP,DE,250.0,,,,,2013,,52.37239528,9.715178929,DE-HLIN,2053
Flensburg ,CCGT,CCGT,PP,DE,75.0,,,,,2016,,54.80522047,9.430526739,GUD-Anlage K 12,2056
Mussum (Stadt W Bocholt),CCGT,CCGT,PP,DE,420.0,,,,,2028,,51.83420394,6.616116249,DE-MUSS,2068
Duisburg,CCGT,CCGT,PP,DE,600.0,,,,,2028,,51.430073,6.752544428,DE-DUIS,2068
Bremen-Mittelsbüren 5,CCGT,CCGT,PP,DE,440.0,,,,,2016,,53.12872523,8.687763027,DE-HBM5,2056
Uerdingen (Chemiepark),CCGT,CCGT,PP,DE,400.0,,,,,2020,,51.36914815,6.663295436,DE-KFDU21,2060
Uerdingen (Chemiepark),CCGT,CCGT,PP,DE,400.0,,,,,2020,,51.36914815,6.663295436,DE-KFDU22,2060
Uerdingen (Chemiepark),CCGT,CCGT,PP,DE,400.0,,,,,2020,,51.36914815,6.663295436,DE-KFDU23,2060
Berlin-Lichterfelde  NEW,CCGT,CCGT,PP,DE,300.0,,,,,2018,,52.42432299,13.30866364,DE-BERL New,2058
Berlin-Klingenberg,CCGT,CCGT,CHP,DE,300.0,,,,,2023,,52.48819775,13.49624671,DE-BERK2,2063
Berlin-Lichterfelde 4,CCGT,CCGT,CHP,DE,300.0,,,,,2020,,52.42430827,13.30864436,DE-BERL4,2060
Carrington II Power Station,CCGT,CCGT,PP,GB,884.0,,,,,2016,,53.43679243,-2.408225515,GB-CARR3,2056
West Burton,CCGT,CCGT,PP,GB,435.0,,,,,2014,,53.35936992,-0.812537526,GB-WBURB1,2054
West Burton,CCGT,CCGT,PP,GB,435.0,,,,,2014,,53.35936992,-0.812537526,GB-WBURB2,2054
West Burton,CCGT,CCGT,PP,GB,435.0,,,,,2014,,53.35936992,-0.812537526,GB-WBURB3,2054
Hinkley Point C Power station,Nuclear,OCGT,PP,GB,1600.0,,,,,2029,,51.20757773,-3.127702672,GB-HINKC1,2079
Hinkley Point C Power station,Nuclear,OCGT,PP,GB,1600.0,,,,,2029,,51.20757773,-3.127702672,GB-HINKC2,2079
Sizewell C power station,Nuclear,OCGT,PP,GB,1600.0,,,,,2034,,52.21427378,1.618061301,GB-SIZEC,2084
Sizewell B,Nuclear,OCGT,PP,GB,1260.0,,,,,1995,,52.21520941,1.619626696,GB-SIZEB,2055
Pembroke 1,CCGT,CCGT,PP,GB,500.0,,,,,2013,,51.68292506,-4.994844725,GB-PEMB1,2053
Pembroke 2,CCGT,CCGT,PP,GB,400.0,,,,,2013,,51.68292506,-4.994844725,GB-PEMB2,2053
Pembroke 3,CCGT,CCGT,PP,GB,400.0,,,,,2013,,51.68292506,-4.994844725,GB-PEMB3,2053
Pembroke 4,CCGT,CCGT,PP,GB,400.0,,,,,2013,,51.68292506,-4.994844725,GB-PEMB4,2053
Pembroke 5,CCGT,CCGT,PP,GB,400.0,,,,,2013,,51.68292506,-4.994844725,GB-PEMB5,2053
Ferrybridge C Multi Fuel ,Waste,CCGT,PP,GB,75.0,,,,,2015,,53.71879249,-1.286852224,GB-ME-WASTEFM1,2055
Riverside,Waste,CCGT,PP,GB,80.0,,,,,2011,,51.50462714,0.155222047,GB-RR-WASTEFM2,2051
Lynemouth,Bioenergy,OCGT,PP,GB,750.0,,,,,2018,,55.20427614,-1.520835197,GB-BIOEPUK NB3,2058
GOLDEN RAAND,Bioenergy,OCGT,PP,NL,17.0,,,,,2014,,53.3124759,6.984393904,NL-BIOMCM,2054
EnecoGen2,CCGT,CCGT,PP,NL,430.0,,,,,2012,,51.95784857,4.093678747,NL-MSTR2,2052
EnecoGen1,CCGT,CCGT,PP,NL,430.0,,,,,2012,,51.95784857,4.093678747,NL-MSTR1,2052
RWE (EEMS) BIO,Bioenergy,OCGT,PP,NL,1326.0,,,,,2030,,53.43903393,6.861625191,NL-EEBIOMASS,2070
Moerdijk-2,CCGT,CCGT,PP,NL,430.0,,,,,2012,,51.68525548,4.580705888,NL-MD-2,2052
Maasbracht C (Claus),CCGT,CCGT,PP,NL,435.0,,,,,2012,,51.15443891,5.909470742,NL-CC-C1,2052
Maasbracht C (Claus),CCGT,CCGT,PP,NL,435.0,,,,,2012,,51.15443891,5.909470742,NL-CC-C2,2052
Maasbracht C (Claus),CCGT,CCGT,PP,NL,435.0,,,,,2023,,51.15443891,5.909470742,NL-CC-C3,2063
Diemen 34,CCGT,CCGT,CHP,NL,435.0,,,,,2012,,52.33888651,5.021105683,NL-DM34,2052
Hemweg 9,CCGT,CCGT,PP,NL,432.0,,,,,2012,,52.4046348,4.851893751,NL-HW9,2052
Magnum 10,CCGT,CCGT,PP,NL,437.0,,,,,2013,,53.45150112,6.852673779,NL-MAG1,2053
Magnum 20,OCGT,OCGT,PP,NL,437.0,,,,,2013,,53.45150112,6.852673779,NL-MAG2,2053
Magnum 30,CCGT,CCGT,PP,NL,437.0,,,,,2013,,53.45150112,6.852673779,NL-MAG3,2053
New_Borselle_fixed,Nuclear,OCGT,PP,NL,3200,,,,,2035,,51.425,3.738,Dutch_gov_nuclear,2080
