Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,YearCommissioned,Retrofit,lat,lon,projectID,YearDecommissioning
DE Bioenergy OCGT PPSgen collection DE1 0,Bioenergy,OCGT,,DE,932,,,,,2014,,7.299752025036479,51.159739395314816,DE-BIO CDE-BIO DDE-BIO NB1,2054
DE Bioenergy OCGT PPSgen collection DE1 1,Bioenergy,OCGT,,DE,1153,,,,,2014,,11.39708702360713,49.01387154398142,DE-BIO CDE-BIO DDE-BIO NB1,2054
DE Bioenergy OCGT PPSgen collection DE1 2,Bioenergy,OCGT,,DE,703,,,,,2014,,12.773616064130824,52.32259673463379,DE-BIO CDE-BIO DDE-BIO NB1,2054
DE Bioenergy OCGT PPSgen collection DE1 3,Bioenergy,OCGT,,DE,1169,,,,,2014,,8.708228022533826,49.09939227935999,DE-BIO CDE-BIO DDE-BIO NB1,2054
DE Bioenergy OCGT PPSgen collection DE1 4,Bioenergy,OCGT,,DE,941,,,,,2014,,9.534605184859796,52.71734175815827,DE-BIO CDE-BIO DDE-BIO NB1,2054
DE Waste CCGT PPSgen collection DE1 0,Waste,CCGT,,DE,148,,,,,2012,,7.299752025036479,51.159739395314816,DE-WASTE CDE-WASTE D,2052
DE Waste CCGT PPSgen collection DE1 1,Waste,CCGT,,DE,183,,,,,2012,,11.39708702360713,49.01387154398142,DE-WASTE CDE-WASTE D,2052
DE Waste CCGT PPSgen collection DE1 2,Waste,CCGT,,DE,111,,,,,2012,,12.773616064130824,52.32259673463379,DE-WASTE CDE-WASTE D,2052
DE Waste CCGT PPSgen collection DE1 3,Waste,CCGT,,DE,186,,,,,2012,,8.708228022533826,49.09939227935999,DE-WASTE CDE-WASTE D,2052
DE Waste CCGT PPSgen collection DE1 4,Waste,CCGT,,DE,149,,,,,2012,,9.534605184859796,52.71734175815827,DE-WASTE CDE-WASTE D,2052
FR Bioenergy OCGT PPSgen collection FR1 0,Bioenergy,OCGT,,FR,169,,,,,2015,,1.45124181473096,44.58626179798984,FR-BIO NB1FR-BIO NB2,2055
FR Bioenergy OCGT PPSgen collection FR1 1,Bioenergy,OCGT,,FR,128,,,,,2015,,-1.0669718647666298,47.73098191073171,FR-BIO NB1FR-BIO NB2,2055
FR Bioenergy OCGT PPSgen collection FR1 2,Bioenergy,OCGT,,FR,256,,,,,2015,,2.6183648691807027,48.80955912340479,FR-BIO NB1FR-BIO NB2,2055
FR Bioenergy OCGT PPSgen collection FR1 3,Bioenergy,OCGT,,FR,87,,,,,2015,,5.922294045283084,48.197851385308375,FR-BIO NB1FR-BIO NB2,2055
FR Bioenergy OCGT PPSgen collection FR1 4,Bioenergy,OCGT,,FR,158,,,,,2015,,5.692818734234923,44.77776908726624,FR-BIO NB1FR-BIO NB2,2055
GB Bioenergy OCGT PPSgen collection GB0 0,Bioenergy,OCGT,,GB,137,,,,,2016,,-0.367753164947349,52.41353221520068,GB-BIO NB1,2056
GB Bioenergy OCGT PPSgen collection GB0 1,Bioenergy,OCGT,,GB,33,,,,,2016,,-3.8641737064961004,56.523247244011685,GB-BIO NB1,2056
GB Bioenergy OCGT PPSgen collection GB0 2,Bioenergy,OCGT,,GB,73,,,,,2016,,-3.0326599936552276,52.24744059952867,GB-BIO NB1,2056
GB Bioenergy OCGT PPSgen collection GB4 1,Bioenergy,OCGT,,GB,5,,,,,2016,,-6.712396999801913,54.60296705381887,GB-BIO NB1,2056
