Generator,name,busmap
off_NO_16 offwind-float,off_NO_16,off_NO_16
off_NO_16 offwind-dc,off_NO_16,off_NO_16
off_NO_17 offwind-float,off_NO_17,off_NO_17
off_NO_17 offwind-dc,off_NO_17,off_NO_17
off_NO_18 offwind-float,off_NO_18,off_NO_18
off_NO_19 offwind-float,off_NO_19,off_NO_19
off_NO_19 offwind-dc,off_NO_19,off_NO_19
off_NO_20 offwind-float,off_NO_20,off_NO_20
off_NO_21 offwind-float,off_NO_21,off_NO_21
off_NO_21 offwind-dc,off_NO_21,off_NO_21
off_NO_22 offwind-float,off_NO_22,off_NO_22
off_NO_23 offwind-float,off_NO_23,off_NO_23
off_NO_24 offwind-float,off_NO_24,off_NO_24
off_GB_1 offwind-float,off_GB_1,off_GB_1
6038 offwind-float,6038,off_GB_2
off_GB_3 offwind-float,off_GB_3,off_GB_3
off_GB_4 offwind-float,off_GB_4,off_GB_4
off_GB_6 offwind-float,off_GB_6,off_GB_6
off_GB_6 offwind-dc,off_GB_6,off_GB_6
off_GB_8 offwind-float,off_GB_8,off_GB_8
off_GB_8 offwind-dc,off_GB_8,off_GB_8
off_GB_10 offwind-float,off_GB_10,off_GB_10
off_GB_12 offwind-float,off_GB_12,off_GB_12
off_GB_12 offwind-dc,off_GB_12,off_GB_12
off_GB_14 offwind-float,off_GB_14,off_GB_14
off_GB_15 offwind-float,off_GB_15,off_GB_15
off_GB_15 offwind-dc,off_GB_15,off_GB_15
off_GB_16 offwind-float,off_GB_16,off_GB_16
off_GB_18 offwind-float,off_GB_18,off_GB_18
off_GB_19 offwind-float,off_GB_19,off_GB_19
off_GB_20 offwind-float,off_GB_20,off_GB_20
off_GB_20 offwind-dc,off_GB_20,off_GB_20
off_GB_22 offwind-float,off_GB_22,off_GB_22
off_GB_22 offwind-dc,off_GB_22,off_GB_22
off_GB_23 offwind-float,off_GB_23,off_GB_23
off_GB_25 offwind-float,off_GB_25,off_GB_25
off_GB_26 offwind-float,off_GB_26,off_GB_26
off_GB_26 offwind-dc,off_GB_26,off_GB_26
off_GB_28 offwind-float,off_GB_28,off_GB_28
off_GB_29 offwind-float,off_GB_29,off_GB_29
off_GB_29 offwind-dc,off_GB_29,off_GB_29
off_GB_31 offwind-float,off_GB_31,off_GB_31
off_GB_31 offwind-dc,off_GB_31,off_GB_31
off_GB_32 offwind-float,off_GB_32,off_GB_32
off_GB_34 offwind-float,off_GB_34,off_GB_34
off_GB_34 offwind-dc,off_GB_34,off_GB_34
off_GB_35 offwind-float,off_GB_35,off_GB_35
off_GB_35 offwind-dc,off_GB_35,off_GB_35
off_GB_36 offwind-float,off_GB_36,off_GB_36
off_GB_36 offwind-dc,off_GB_36,off_GB_36
off_GB_38 offwind-float,off_GB_38,off_GB_38
off_GB_39 offwind-float,off_GB_39,off_GB_39
off_GB_39 offwind-dc,off_GB_39,off_GB_39
off_GB_41 offwind-float,off_GB_41,off_GB_41
off_GB_42 offwind-float,off_GB_42,off_GB_42
off_GB_42 offwind-dc,off_GB_42,off_GB_42
off_GB_43 offwind-float,off_GB_43,off_GB_43
off_GB_43 offwind-dc,off_GB_43,off_GB_43
off_GB_44 offwind-float,off_GB_44,off_GB_44
off_GB_44 offwind-dc,off_GB_44,off_GB_44
off_GB_46 offwind-float,off_GB_46,off_GB_46
off_GB_48 offwind-float,off_GB_48,off_GB_48
off_GB_48 offwind-dc,off_GB_48,off_GB_48
off_GB_50 offwind-float,off_GB_50,off_GB_50
