Generator,carrier,bus,p_nom_min,p_nom,p_nom_extendable,efficiency,marginal_cost,capital_cost,build_year,lifetime,p_nom_max,p_max_pu,weight,grid_connection_cost,turbine_cost,control,type,p_min_pu,p_set,q_set,sign,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt
C30,CCGT,5706,444.0,444.0,False,0.522,42.70574712643678,99027.72929315244,1996,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C31,CCGT,3397,120.0,120.0,False,0.5445,41.11460055096419,99027.72929315244,2001,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C32,CCGT,5868,626.0,626.0,False,0.612,37.043137254901964,99027.72929315244,2016,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C33,CCGT,4886,230.0,230.0,False,0.5985,37.78395989974938,99027.72929315244,1998,55.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C34,CCGT,5783,321.0,321.0,False,0.3956,55.00889787664308,99027.72929315244,1978,68.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C35,CCGT,4718,110.0,110.0,False,0.537668016194332,41.58366314267643,99027.72929315244,2004,46.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C36,CCGT,4718,866.0,866.0,False,0.4846417000801924,45.67393836864246,99027.72929315244,2005,51.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C37,CCGT,4559,167.0,167.0,False,0.585,38.55897435897437,99027.72929315244,1996,54.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C38,CCGT,4949,181.0,181.0,False,0.5625,39.93333333333334,99027.72929315244,2005,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C39,CCGT,3394,120.0,120.0,False,0.585,38.55897435897437,99027.72929315244,2010,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C40,CCGT,4835,125.0,125.0,False,0.5625,39.93333333333334,99027.72929315244,2005,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C41,coal,4889,71.9110826119276,71.9110826119276,False,0.5476595744680851,18.381507381507383,349976.5536298572,1984,71.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C42,lignite,4882,35.04131531627193,35.04131531627193,False,0.3736,11.262312633832977,349976.5536298572,1988,46.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C43,coal,3740,27.65810869689523,27.65810869689523,False,0.45,21.61111111111111,349976.5536298572,1990,32.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C44,CCGT,4860,353.0,353.0,False,0.531,42.05310734463277,99027.72929315244,1998,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C45,coal,4704,600.0,600.0,False,0.33,28.196969696969695,349976.5536298572,1976,80.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C47,nuclear,4923,1402.0,1402.0,False,0.33,11.378787878787879,706772.616768959,1980,50.0,inf,0.88,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C48,coal,3374,436.99811741094464,436.99811741094464,False,0.33,28.196969696969695,349976.5536298572,1986,70.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C49,coal,5864,267.36171740332054,267.36171740332054,False,0.33,28.196969696969695,349976.5536298572,1961,71.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C50,coal,4835,429.6226217584392,429.6226217584392,False,0.33,28.196969696969695,349976.5536298572,1982,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C51,coal,5681,509.83113697943537,509.83113697943537,False,0.33,28.196969696969695,349976.5536298572,1994,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C52,coal,4835,667.4823565517382,667.4823565517382,False,0.33,28.196969696969695,349976.5536298572,1976,75.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C53,coal,4762,755.9883043818029,755.9883043818029,False,0.33,28.196969696969695,349976.5536298572,2013,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C54,coal,4860,1347.8718304953609,1347.8718304953609,False,0.33,28.196969696969695,349976.5536298572,1985,65.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C55,coal,4934,982.7847956963438,982.7847956963438,False,0.33,28.196969696969695,349976.5536298572,1965,89.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C56,coal,4698,1106.3243478758093,1106.3243478758093,False,0.33,28.196969696969695,349976.5536298572,1959,93.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C57,coal,4854,719.110826119276,719.110826119276,False,0.33,28.196969696969695,349976.5536298572,1983,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C58,coal,4734,719.110826119276,719.110826119276,False,0.33,28.196969696969695,349976.5536298572,1981,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C59,coal,3749,788.256097861514,788.256097861514,False,0.33,28.196969696969695,349976.5536298572,1985,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C60,coal,5879,188.99707609545072,188.99707609545072,False,0.33,28.196969696969695,349976.5536298572,1993,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C122,coal,3748,88.50594783006474,88.50594783006474,False,0.33,28.196969696969695,349976.5536298572,1982,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C123,coal,5830,92.19369565631744,92.19369565631744,False,0.33,28.196969696969695,349976.5536298572,1978,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C124,coal,4886,276.5810869689523,276.5810869689523,False,0.33,28.196969696969695,349976.5536298572,1989,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C125,coal,5869,118.92986739664948,118.92986739664948,False,0.33,28.196969696969695,349976.5536298572,1989,33.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C126,coal,5703,553.1621739379046,553.1621739379046,False,0.33,28.196969696969695,349976.5536298572,1987,43.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C127,coal,5704,92.19369565631744,92.19369565631744,False,0.33,28.196969696969695,349976.5536298572,1990,40.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
C128,coal,4732,1014.1306522194916,1014.1306522194916,False,0.33,28.196969696969695,349976.5536298572,2020,45.0,inf,1.0,,,,PQ,,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
